step,time,alive,remaining_fraction
345,345.0,28206,0.56412
346,346.0,28154,0.56308
347,347.0,28114,0.56228
348,348.0,28070,0.5614
349,349.0,28023,0.56046
350,350.0,27978,0.55956
351,351.0,27931,0.55862
352,352.0,27887,0.55774
353,353.0,27836,0.55672
354,354.0,27790,0.5558
355,355.0,27747,0.55494
356,356.0,27702,0.55404
357,357.0,27652,0.55304
358,358.0,27605,0.5521
359,359.0,27563,0.55126
360,360.0,27515,0.5503
361,361.0,27470,0.5494
362,362.0,27424,0.54848
363,363.0,27376,0.54752
364,364.0,27335,0.5467
365,365.0,27292,0.54584
366,366.0,27249,0.54498
367,367.0,27206,0.54412
368,368.0,27156,0.54312
369,369.0,27111,0.54222
370,370.0,27063,0.54126
371,371.0,27020,0.5404
372,372.0,26971,0.53942
373,373.0,26931,0.53862
374,374.0,26888,0.53776
375,375.0,26844,0.53688
376,376.0,26800,0.536
377,377.0,26760,0.5352
378,378.0,26717,0.53434
379,379.0,26671,0.53342
380,380.0,26621,0.53242
381,381.0,26576,0.53152
382,382.0,26534,0.53068
383,383.0,26484,0.52968
384,384.0,26446,0.52892
385,385.0,26389,0.52778
386,386.0,26351,0.52702
387,387.0,26303,0.52606
388,388.0,26259,0.52518
389,389.0,26216,0.52432
390,390.0,26169,0.52338
391,391.0,26131,0.52262
392,392.0,26082,0.52164
393,393.0,26037,0.52074
394,394.0,25996,0.51992
395,395.0,25955,0.5191
396,396.0,25911,0.51822
397,397.0,25862,0.51724
398,398.0,25821,0.51642
399,399.0,25775,0.5155
400,400.0,25734,0.51468
401,401.0,25685,0.5137
402,402.0,25649,0.51298
403,403.0,25607,0.51214
404,404.0,25559,0.51118
405,405.0,25517,0.51034
406,406.0,25478,0.50956
407,407.0,25431,0.50862
408,408.0,25387,0.50774
409,409.0,25348,0.50696
410,410.0,25306,0.50612
411,411.0,25265,0.5053
412,412.0,25223,0.50446
413,413.0,25185,0.5037
414,414.0,25142,0.50284
415,415.0,25104,0.50208
416,416.0,25067,0.50134
417,417.0,25024,0.50048
418,418.0,24982,0.49964
419,419.0,24942,0.49884
420,420.0,24903,0.49806
421,421.0,24868,0.49736
422,422.0,24825,0.4965
423,423.0,24778,0.49556
424,424.0,24740,0.4948
425,425.0,24698,0.49396
426,426.0,24663,0.49326
427,427.0,24627,0.49254
428,428.0,24585,0.4917
429,429.0,24545,0.4909
430,430.0,24509,0.49018
431,431.0,24463,0.48926
432,432.0,24431,0.48862
433,433.0,24387,0.48774
434,434.0,24347,0.48694
