gen,id,evac,cost,rank,widths
5,193,1233.19,1976.75,3,"[2,0,0,0,2,0,0,0,2,2,2,2,0,4,2,2]"
5,194,1430.36,1648.86,3,"[0,0,0,2,0,4,0,0,2,2,4,0,0,0,2,4]"
5,195,1349.71,1737.87,3,"[0,0,2,0,0,2,2,0,4,0,2,4,2,0,0,2]"
5,196,1170.01,2255.86,3,"[2,0,4,4,0,0,0,0,4,0,2,2,0,4,4,0]"
5,197,1171.11,2054.02,3,"[2,0,4,2,0,0,0,0,0,0,2,2,0,4,4,0]"
5,198,1192.6,1990.19,3,"[0,2,2,0,2,0,0,0,4,2,2,0,4,4,0,0]"
5,199,1167.79,2784.65,3,"[0,0,4,2,0,0,4,2,0,0,4,0,4,4,2,4]"
5,200,1168.53,2655.96,3,"[0,0,2,0,4,0,0,0,4,0,2,2,4,4,4,0]"
6,201,1217.35,1302.8,0,"[0,0,4,2,0,0,0,0,0,0,4,0,0,2,4,0]"
6,202,1132.24,3160.49,0,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
6,203,1301.28,987.66,0,"[2,0,2,0,0,0,4,0,4,0,4,0,0,0,0,0]"
6,204,1126.33,3373.14,0,"[2,4,4,0,2,0,0,0,4,2,2,0,4,4,4,0]"
6,205,1155.82,2617.12,0,"[0,0,2,0,2,0,4,0,4,0,2,0,4,4,4,2]"
6,206,1164.94,1787.78,0,"[0,2,4,0,0,0,0,0,0,0,4,0,0,4,4,2]"
6,207,1266.19,1137.47,0,"[0,0,2,2,2,0,0,0,4,0,2,0,0,2,0,2]"
6,208,1303.73,970.9,0,"[2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0]"
6,209,1206.67,1372.16,0,"[0,0,2,0,0,0,0,0,0,0,4,2,0,4,4,0]"
6,210,1148.8,2874.68,0,"[0,2,4,0,2,0,4,0,2,2,2,0,0,4,4,2]"
6,211,1157.48,2274.08,0,"[2,2,4,0,2,0,0,0,4,0,2,0,4,4,0,0]"
6,212,1179.1,1533.02,0,"[4,0,4,2,0,0,0,0,4,0,2,0,0,4,0,0]"
6,213,1133.67,3160.49,1,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
6,214,1133.59,3547.38,1,"[4,2,4,0,2,2,0,0,4,2,2,0,2,4,4,2]"
6,215,1167.29,1950.88,1,"[0,0,4,0,0,0,4,0,0,2,4,0,2,4,2,0]"
6,216,1271.86,1334.07,1,"[0,0,2,2,0,0,2,0,4,0,2,2,2,2,0,0]"
6,217,1223.2,1472.63,1,"[0,0,4,0,0,0,4,0,4,0,2,0,2,2,0,2]"
6,218,1215.77,1498.27,1,"[0,0,2,2,0,0,0,0,0,0,2,2,4,4,0,0]"
6,219,1161.22,2719.17,1,"[2,4,2,0,0,0,2,0,4,0,2,0,2,4,4,2]"
6,220,1162.27,2311.18,1,"[2,2,4,4,0,0,0,0,4,0,2,0,0,4,4,0]"
6,221,1189.82,1782.34,1,"[2,0,2,0,0,0,4,0,2,2,4,0,2,4,0,0]"
6,222,1191.68,1580.87,1,"[0,0,2,0,0,0,4,0,4,0,4,0,0,4,4,0]"
6,223,1134.9,3273.77,2,"[2,2,4,2,2,0,2,0,4,0,2,2,2,4,4,0]"
6,224,1152.56,3267.69,2,"[2,4,4,0,0,0,0,2,0,2,4,0,4,4,4,0]"
6,225,1134.64,4431.34,2,"[4,4,4,0,2,0,4,4,4,0,2,0,2,4,4,2]"
6,226,1168.09,1982.16,2,"[2,0,4,0,0,0,4,0,2,2,4,0,2,4,0,0]"
6,227,1318.2,1432.82,2,"[0,0,2,2,0,2,0,0,0,2,2,2,2,0,0,0]"
6,228,1164.56,2552.44,2,"[2,0,4,0,0,0,4,2,0,2,4,0,2,4,2,0]"
6,229,1211.2,1655.91,2,"[0,2,2,0,0,0,2,0,4,0,2,2,2,4,0,0]"
6,230,1208.26,1692.65,2,"[0,2,2,2,2,0,0,0,4,2,2,0,0,4,0,0]"
6,231,1301.75,1639.67,2,"[0,0,2,2,0,4,0,0,4,0,4,2,0,2,0,2]"
6,232,1192.08,1958.63,2,"[0,0,2,2,0,0,2,0,4,2,4,0,4,4,2,0]"
6,233,1135.24,3977.16,3,"[4,4,4,0,2,4,0,0,4,0,0,0,2,4,4,2]"
6,234,1342.28,1587.44,3,"[0,0,2,2,0,4,0,2,2,0,4,0,0,0,2,0]"
6,235,1211.26,1655.91,3,"[0,2,2,0,0,0,2,0,4,0,2,2,2,4,0,0]"
6,236,1136.15,3300.83,3,"[4,0,4,0,2,4,0,0,4,0,0,0,2,4,4,2]"
6,237,1166.36,2832.5,3,"[4,0,4,0,2,0,0,4,4,2,2,0,0,4,2,0]"
6,238,1167.65,2610.02,3,"[0,0,4,0,4,0,0,2,4,0,4,0,4,4,2,0]"
6,239,1170.01,2255.86,3,"[2,0,4,4,0,0,0,0,4,0,2,2,0,4,4,0]"
6,240,1210.07,1981.41,3,"[0,0,2,2,2,0,0,0,0,0,4,0,4,2,4,0]"
7,241,1217.35,1302.8,0,"[0,0,4,2,0,0,0,0,0,0,4,0,0,2,4,0]"
7,242,1132.24,3160.49,0,"[4,0,4,0,4,0,0,0,4,0,2,0,4,4,4,0]"
7,243,1301.28,987.66,0,"[2,0,2,0,0,0,4,0,4,0,4,0,0,0,0,0]"
