sim_call,batch,evac,cost_proxy,widths
152,3,1149.9028846153847,3465.5700000000006,"[4,2,4,0,2,0,4,0,2,0,4,2,4,0,2]"
153,3,1191.6256756483185,3291.41,"[0,0,4,0,2,4,0,2,2,4,4,0,4,0,4]"
154,3,1237.8075318890462,2196.3800000000006,"[0,2,4,2,2,0,2,2,2,0,0,0,2,0,2]"
155,3,1259.0744993216288,1636.8600000000001,"[0,0,2,2,0,0,2,0,2,4,2,0,2,0,2]"
156,3,1169.6353761742791,2739.9100000000003,"[4,2,2,2,0,0,0,0,0,0,4,0,4,2,4]"
157,3,1149.3695691784426,2961.2800000000007,"[0,4,4,0,2,0,0,0,4,4,0,0,4,4,2]"
158,3,1168.0730682807343,3500.7200000000007,"[0,4,4,0,2,4,4,0,2,0,0,0,4,2,4]"
159,3,1276.6066221142162,1184.2700000000002,"[0,4,0,0,0,0,0,0,0,0,0,0,4,0,2]"
160,3,1279.3490147633609,1232.9,"[0,0,4,0,2,0,0,0,4,4,0,0,0,0,0]"
161,4,1212.0293700771458,2107.2900000000004,"[2,0,4,2,2,0,2,0,0,4,0,0,2,0,0]"
162,4,1186.2079916580615,2138.65,"[4,2,2,2,0,0,0,0,0,0,4,0,4,0,0]"
163,4,1218.5618975293642,1230.1900000000003,"[0,2,2,2,0,0,0,0,0,0,0,0,4,0,2]"
164,4,1210.9689296995223,2568.2700000000004,"[4,0,2,2,0,0,4,0,2,4,2,0,2,2,0]"
165,4,1192.2875597311088,2284.51,"[4,2,2,0,2,0,0,0,0,4,0,0,4,0,0]"
166,4,1240.6838268054598,992.85,"[0,0,4,2,0,0,2,0,0,0,0,0,2,0,0]"
167,4,1223.6413765182185,3538.4400000000005,"[2,2,4,0,0,4,4,0,2,4,4,0,2,0,4]"
168,4,1155.7066452043978,2518.1900000000005,"[4,0,2,0,2,0,2,0,0,0,4,0,4,2,0]"
169,4,1153.2499848193504,3834.3300000000004,"[4,2,4,4,2,0,4,0,2,0,4,2,4,0,2]"
170,4,1176.0042110377778,3103.8500000000004,"[2,2,2,2,2,0,2,0,0,0,0,4,4,4,0]"
171,4,1273.0208476772914,1505.1800000000003,"[0,2,0,2,2,0,2,0,2,0,0,0,4,0,0]"
172,4,1191.5423660181007,2603.8300000000004,"[0,2,2,2,2,0,2,0,0,4,4,0,4,0,0]"
173,4,1308.2013831230634,1499.0300000000002,"[0,0,2,0,0,2,0,0,2,4,0,2,0,2,0]"
174,4,1254.2874858276646,2806.01,"[0,4,0,2,2,2,2,0,4,0,4,0,4,0,2]"
175,4,1254.5423922728007,1662.0500000000002,"[0,4,2,2,0,0,0,0,0,4,0,0,2,0,0]"
176,4,1259.0149521167823,2474.5800000000004,"[0,2,4,0,2,4,0,0,4,0,0,0,0,4,2]"
177,4,1274.251711219117,1084.6200000000001,"[0,2,2,4,0,0,0,0,0,0,0,0,2,0,0]"
178,4,1339.599244755811,2047.4800000000005,"[0,2,0,2,0,0,4,4,0,0,0,0,2,2,0]"
179,4,1382.521122339456,1151.75,"[0,2,0,0,2,0,0,0,0,4,0,0,0,0,0]"
180,4,1185.8772604848018,1390.3300000000002,"[0,0,4,0,2,0,2,0,4,0,0,0,4,0,0]"
181,4,1160.425007085307,3366.5800000000004,"[2,2,4,2,2,0,2,0,2,0,0,4,4,2,4]"
182,4,1161.2888040970001,3853.26,"[0,4,2,4,2,0,2,0,4,4,4,0,4,4,2]"
183,4,1159.460007692775,3115.9900000000002,"[2,2,4,2,2,0,2,0,0,0,4,2,4,0,2]"
184,4,1168.9165856818918,2888.9100000000003,"[0,2,4,0,0,0,4,0,2,0,4,4,4,2,0]"
185,4,1179.0729904839036,2454.26,"[0,2,4,2,2,0,0,2,2,0,4,0,4,0,0]"
186,4,1269.3260807937631,1576.16,"[0,4,0,0,2,0,0,0,0,0,0,0,4,0,2]"
187,4,1291.424161739694,2043.5100000000002,"[0,2,2,2,0,4,2,2,0,0,0,0,2,0,0]"
188,4,1220.545014579621,1578.46,"[0,2,2,0,2,0,0,2,0,0,0,0,4,0,0]"
189,4,1155.004343072344,2431.94,"[0,4,4,0,0,0,0,0,2,2,2,0,4,4,0]"
190,4,1135.2689310365768,3820.34,"[4,4,4,2,2,0,2,0,4,0,0,2,4,4,2]"
