Run_ID,steps,T_total,N0,N_end
596,921,920.0,49387,10019
597,882,881.0,49384,10022
598,873,872.0,49390,10013
599,882,881.0,49381,10018
600,870,869.0,49385,10007
601,888,887.0,49382,10007
602,888,887.0,49382,10015
603,889,888.0,49387,10016
604,896,895.0,49388,10008
605,863,862.0,49388,10008
606,888,887.0,49385,10014
607,886,885.0,49387,10008
608,895,894.0,49382,10018
609,868,867.0,49386,10010
610,877,876.0,49392,10000
611,881,880.0,49385,10013
612,875,874.0,49390,10004
613,870,869.0,49385,10012
614,869,868.0,49390,10006
615,902,901.0,49384,10007
616,866,865.0,49387,10019
617,866,865.0,49395,10003
618,900,899.0,49394,10014
619,884,883.0,49384,9999
620,877,876.0,49382,10016
621,910,909.0,49391,10009
622,912,911.0,49382,10000
623,887,886.0,49384,10023
624,874,873.0,49384,10014
625,862,861.0,49388,10008
626,882,881.0,49391,10000
627,842,841.0,49392,10003
628,882,881.0,49383,10009
629,890,889.0,49389,10019
630,904,903.0,49385,9999
631,884,883.0,49395,10001
632,886,885.0,49385,10006
633,884,883.0,49381,10000
634,870,869.0,49386,10013
635,884,883.0,49393,10012
636,868,867.0,49389,10016
637,841,840.0,49392,9998
638,881,880.0,49390,9999
639,889,888.0,49382,10012
640,880,879.0,49384,10007
641,887,886.0,49385,9997
642,890,889.0,49383,10011
643,922,921.0,49384,10014
644,929,928.0,49385,10014
645,893,892.0,49387,10014
646,938,937.0,49384,10002
647,883,882.0,49390,10009
648,868,867.0,49394,10006
649,873,872.0,49388,10000
650,885,884.0,49384,9998
651,889,888.0,49383,10008
652,889,888.0,49385,10016
653,861,860.0,49386,10011
654,868,867.0,49389,10005
655,881,880.0,49382,10016
656,889,888.0,49391,10003
657,885,884.0,49383,10015
658,872,871.0,49388,10004
659,890,889.0,49382,10006
660,888,887.0,49382,10002
661,863,862.0,49391,10000
662,876,875.0,49382,10020
663,865,864.0,49394,10012
664,896,895.0,49384,10006
665,884,883.0,49383,10007
666,893,892.0,49391,10009
667,914,913.0,49377,10016
668,885,884.0,49391,10002
669,878,877.0,49383,10003
670,881,880.0,49388,10005
671,875,874.0,49392,10015
672,859,858.0,49386,10006
673,888,887.0,49383,10000
674,878,877.0,49389,10007
675,886,885.0,49385,10007
676,857,856.0,49394,10000
677,853,852.0,49393,10014
678,886,885.0,49384,10012
679,875,874.0,49385,10018
680,890,889.0,49382,10010
681,875,874.0,49384,10006
682,881,880.0,49383,10018
683,871,870.0,49385,10001
684,896,895.0,49387,10000
685,886,885.0,49384,10004
686,866,865.0,49389,10003
687,864,863.0,49385,9999
688,872,871.0,49386,10003
689,876,875.0,49386,10001
690,887,886.0,49385,10020
691,868,867.0,49392,10003
692,868,867.0,49383,10017
693,904,903.0,49394,10006
694,892,891.0,49384,10007
695,893,892.0,49391,9996
696,890,889.0,49388,10007
697,891,890.0,49383,10004
698,953,952.0,49386,10006
699,890,889.0,49382,10014
700,887,886.0,49392,10007
701,890,889.0,49381,10013
702,888,887.0,49383,10019
703,885,884.0,49385,10016
704,911,910.0,49382,10002
705,889,888.0,49382,10003
706,903,902.0,49385,10004
707,889,888.0,49382,10008
708,875,874.0,49393,10011
709,874,873.0,49384,10007
710,875,874.0,49391,10013
711,882,881.0,49387,10002
712,883,882.0,49385,9999
713,862,861.0,49387,10011
714,907,906.0,49391,10004
715,888,887.0,49389,10000
716,894,893.0,49385,10013
717,879,878.0,49389,10008
718,891,890.0,49389,10012
719,856,855.0,49388,10014
720,882,881.0,49384,10001
721,876,875.0,49385,10004
722,902,901.0,49381,10003
723,874,873.0,49386,10012
724,885,884.0,49383,10002
725,852,851.0,49394,10007
726,887,886.0,49385,10015
727,928,927.0,49384,10003
728,867,866.0,49385,10000
729,875,874.0,49385,10009
730,874,873.0,49392,10001
731,882,881.0,49389,9997
732,874,873.0,49384,10008
733,868,867.0,49386,9997
734,970,969.0,49385,10017
735,876,875.0,49388,10010
736,871,870.0,49387,10010
737,881,880.0,49390,10017
738,907,906.0,49390,10000
739,905,904.0,49386,10001
740,897,896.0,49384,10007
741,888,887.0,49384,10006
