sim_call,batch,evac,cost_proxy,widths
74,3,1136.8629625878589,4646.330000000001,"[4,4,2,0,2,4,4,0,0,4,2,0,4,4,2]"
75,3,1185.7242814316676,3129.84,"[2,4,2,2,0,0,4,0,2,2,0,4,4,0,2]"
76,3,1273.0113107415584,2498.0200000000004,"[2,0,2,2,0,0,4,0,4,2,0,4,0,4,0]"
77,3,1255.363503413073,3009.0200000000004,"[2,0,2,0,2,0,4,4,4,0,4,0,0,4,0]"
78,3,1166.9634608762585,3910.3800000000006,"[4,2,2,2,0,4,4,0,2,2,2,2,4,2,2]"
79,3,1217.5495999513864,1371.67,"[0,0,2,0,0,0,0,0,2,2,0,0,4,2,4]"
80,3,1373.2106666126517,991.45,"[2,4,0,0,0,0,0,0,4,0,0,0,0,0,0]"
81,4,1184.6028276853895,2698.8600000000006,"[0,0,2,0,2,0,4,0,4,0,0,4,4,4,2]"
82,4,1177.5288338836112,3365.3,"[2,2,2,2,2,4,4,0,2,0,2,2,4,0,0]"
83,4,1179.9823816565054,3347.25,"[2,4,4,0,0,0,4,2,2,0,0,4,4,2,0]"
84,4,1162.0938706475724,3313.2700000000004,"[2,2,2,0,2,0,2,2,4,0,4,0,4,4,2]"
85,4,1299.4419473758837,1660.4,"[2,2,2,0,0,0,2,2,2,0,0,2,0,0,0]"
86,4,1247.1933824869857,1765.6100000000004,"[2,0,2,0,0,4,4,0,4,0,0,0,2,0,0]"
87,4,1200.3188417833055,1917.9700000000003,"[2,2,2,0,0,0,0,2,0,0,0,0,4,2,2]"
88,4,1159.8279527638801,4596.400000000001,"[2,4,2,0,2,2,4,2,2,0,4,4,4,4,0]"
89,4,1276.9367832040348,1843.7600000000002,"[0,4,0,0,0,0,0,2,0,0,2,0,4,2,0]"
90,4,1221.307528003403,862.8200000000002,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
91,4,1363.660303024165,1217.2700000000002,"[2,4,0,0,0,0,2,0,2,0,0,0,0,0,0]"
92,4,1297.151279142782,1268.0100000000002,"[2,0,2,0,0,0,4,0,4,0,0,2,0,0,0]"
93,4,1209.0427900099253,1607.13,"[2,0,2,0,0,0,4,0,2,0,0,2,4,0,0]"
94,4,1176.9230995158905,2612.7100000000005,"[2,4,2,0,0,0,4,0,4,0,0,0,4,2,4]"
95,4,1221.4904312422775,1625.9700000000003,"[2,0,2,0,0,0,0,0,0,2,0,4,4,0,0]"
96,4,1260.3009641677977,1852.5700000000002,"[0,4,0,2,0,0,4,0,2,0,0,0,4,0,2]"
97,4,1339.160310113634,1516.96,"[4,2,0,2,2,0,0,0,4,0,0,0,0,0,0]"
98,4,1199.1914865603921,2745.7700000000004,"[0,0,2,0,0,0,4,0,0,2,2,4,4,4,2]"
99,4,1285.3295772650854,1658.8100000000004,"[2,4,2,0,0,0,0,0,0,0,4,0,0,0,0]"
100,4,1307.8857582693593,1241.2,"[0,0,0,0,0,0,0,4,4,0,0,0,4,2,0]"
101,5,1386.108598513237,1827.48,"[0,0,0,0,2,0,0,4,2,2,0,0,0,2,4]"
102,5,1240.8940023091413,547.7,"[0,0,2,0,0,0,0,0,0,0,0,0,4,0,0]"
103,5,1222.539893455407,862.8200000000002,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
104,5,1221.3937784844743,862.8200000000002,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
105,5,1258.6834430513074,1647.9100000000003,"[2,4,0,0,0,0,0,0,0,0,0,0,4,0,4]"
106,5,1328.6464734955134,492.5,"[0,0,2,0,0,0,0,0,4,0,0,0,0,2,0]"
107,5,1176.0543417934332,2884.7200000000003,"[2,4,2,0,0,0,4,0,2,0,0,2,4,2,4]"
108,5,1221.7934665478338,1251.0500000000002,"[0,0,2,0,0,0,4,0,4,2,0,0,4,0,0]"
109,5,1169.696138264903,3748.41,"[2,2,2,2,2,0,4,2,0,2,0,4,4,2,2]"
110,5,1167.0866029289634,2771.7100000000005,"[4,4,2,0,0,0,0,0,4,0,2,0,4,4,2]"
111,5,1173.8528570560472,2616.65,"[2,2,2,0,0,0,4,0,4,0,2,0,4,4,2]"
112,5,1196.902997832648,2801.2300000000005,"[4,0,2,2,2,2,0,0,0,2,0,4,4,0,0]"
113,5,1138.8002106585104,4092.8,"[4,4,2,0,2,0,4,0,4,2,4,0,4,4,2]"
114,5,1185.8795853673357,3430.7300000000005,"[2,2,2,2,0,0,2,2,4,0,2,4,4,4,2]"
115,5,1188.1186554315464,2583.6400000000003,"[2,2,2,4,0,0,4,0,0,0,0,2,4,2,0]"
116,5,1195.9165772043186,3006.4500000000003,"[2,0,2,0,4,0,0,2,2,4,4,0,4,0,2]"
117,5,1155.1775395491097,3703.1900000000005,"[4,0,2,2,2,0,4,0,2,0,2,4,4,4,2]"
118,5,1263.8073386132999,1349.17,"[2,0,0,0,0,0,4,0,4,2,0,0,4,0,0]"
119,5,1229.3581133909945,1074.6100000000001,"[0,0,4,0,0,2,0,0,4,0,0,0,4,0,0]"
120,5,1291.4329123539064,833.4000000000001,"[2,0,0,2,0,0,0,0,0,0,0,0,4,0,0]"
121,6,1445.6095748344103,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
122,6,1217.571814296421,1588.92,"[2,0,2,0,0,0,0,0,4,0,0,4,4,0,2]"
123,6,1274.3898296501854,2022.8600000000004,"[4,4,2,0,0,0,0,2,4,0,2,0,0,0,0]"
124,6,1194.8501974923536,2516.82,"[2,2,2,0,0,4,0,0,4,0,0,0,4,4,2]"
125,6,1209.672051287245,1967.2200000000003,"[0,0,2,0,0,0,0,0,4,2,4,0,4,4,2]"
126,6,1164.8233891713423,2894.2000000000003,"[4,4,2,0,0,0,2,0,2,0,2,0,4,2,4]"
127,6,1222.3744455022384,862.8200000000002,"[2,0,2,0,0,0,0,0,4,0,0,0,4,0,0]"
128,6,1170.5032692580364,2575.2000000000003,"[2,2,4,0,0,0,4,0,4,0,0,0,4,4,2]"
129,6,1229.575639571391,1515.0700000000002,"[0,0,2,0,0,0,0,0,0,0,2,4,4,0,2]"
130,6,1172.8432255058842,2687.3800000000006,"[4,4,2,0,0,0,0,0,2,0,0,0,4,4,4]"
