sim_call,batch,evac,cost_proxy,widths
110,2,1426.6228231602388,310.33000000000004,"[0,0,0,0,0,2,0,0,0,0,0,0,0,0,0]"
111,2,1171.710663022573,3396.3800000000006,"[4,0,2,4,2,0,4,4,0,4,0,0,4,0,0]"
112,2,1147.4978520093127,4009.15,"[0,4,4,4,4,2,0,0,4,4,2,2,4,0,2]"
113,2,1220.8749671019334,3093.51,"[4,4,4,0,0,2,0,0,2,4,2,0,0,2,2]"
114,2,1236.5807855046055,1971.7800000000004,"[4,4,4,0,0,2,0,0,0,0,0,0,0,0,0]"
115,2,1185.2811924283833,3206.7400000000002,"[4,0,4,0,2,0,4,2,4,2,4,0,2,0,2]"
116,2,1186.6045854843608,2698.1800000000003,"[0,0,4,2,2,0,2,0,4,2,2,4,2,2,0]"
117,2,1185.1423231096267,2265.1,"[0,2,4,2,0,0,0,0,2,4,0,4,4,0,0]"
118,2,1206.6906265816378,2257.03,"[0,0,4,2,0,0,0,0,2,4,2,2,2,4,0]"
119,2,1326.423018524142,1177.1000000000001,"[0,2,0,4,0,0,0,0,2,0,0,2,2,0,0]"
120,2,1345.31629314708,2103.8900000000003,"[0,2,0,0,4,0,0,0,4,4,0,0,0,4,0]"
121,3,1259.8045500556736,1852.18,"[0,0,4,0,2,0,0,4,4,0,0,0,0,2,2]"
122,3,1173.6510233829335,2346.9500000000003,"[0,0,4,4,0,0,4,0,2,4,0,0,4,0,4]"
123,3,1406.1629071768396,812.4100000000001,"[0,0,0,2,0,0,0,0,0,0,0,0,0,2,4]"
124,3,1201.4194685696932,1560.91,"[0,0,4,0,0,2,0,0,2,2,0,2,4,0,0]"
125,3,1152.47674359753,5257.6900000000005,"[4,4,4,2,4,4,2,0,2,4,0,4,2,2,4]"
126,3,1159.9963073185545,3904.6900000000005,"[0,4,4,4,0,4,0,0,2,4,2,2,4,4,0]"
127,3,1258.9680433242231,1902.8200000000002,"[2,0,4,4,0,0,2,4,0,0,0,0,0,0,0]"
128,3,1260.94617471404,2114.9500000000003,"[0,0,0,0,0,2,0,0,0,2,2,4,4,2,2]"
129,3,1251.1864014576374,2454.53,"[0,2,4,0,0,0,4,0,2,0,2,2,0,4,2]"
130,3,1259.699372406114,1579.0700000000002,"[0,0,0,0,4,0,2,0,0,2,0,0,4,0,0]"
131,3,1265.7560279380502,2055.34,"[2,2,2,4,0,0,0,2,0,0,0,0,0,4,0]"
132,3,1152.6426905557244,3627.51,"[4,0,4,4,2,0,0,2,0,4,2,4,4,0,0]"
133,3,1166.0236056281,2501.6600000000003,"[2,0,4,2,0,0,2,0,4,2,2,4,4,0,0]"
134,3,1178.200886729426,2071.7200000000003,"[0,0,4,2,0,0,0,0,0,4,0,2,4,2,2]"
135,3,1260.2084300030367,1162.97,"[0,2,0,2,0,0,0,0,4,0,0,0,4,2,0]"
136,3,1240.301832169248,2182.9900000000002,"[0,0,2,4,2,0,0,0,0,4,0,2,2,0,4]"
137,3,1205.4755876100821,2622.9900000000002,"[0,4,4,4,0,0,0,2,0,4,0,0,2,2,0]"
138,3,1201.3283328272091,1895.6000000000001,"[0,4,4,4,0,0,0,0,0,0,0,0,2,2,0]"
139,3,1367.560491952627,1745.1900000000003,"[0,0,0,0,0,2,4,0,0,4,0,0,0,4,0]"
140,3,1419.8326915679725,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
141,3,1157.644526773965,2948.84,"[0,0,4,2,4,2,4,0,4,0,0,2,4,0,2]"
142,3,1206.5863042818098,2693.0600000000004,"[0,0,4,4,0,0,0,0,4,4,4,2,2,4,0]"
143,3,1141.760284441745,3605.7900000000004,"[0,2,4,4,2,2,4,0,4,4,0,0,4,4,0]"
144,3,1103.006911630732,6060.2300000000005,"[4,4,4,4,4,4,4,0,2,4,2,2,4,4,4]"
145,3,1206.0684785909505,1599.0300000000002,"[0,0,4,2,2,0,2,0,0,2,0,0,2,0,0]"
146,3,1245.1563063063063,2303.03,"[0,4,4,4,0,0,0,0,4,0,0,4,0,2,0]"
147,3,1215.4410102237068,3161.5300000000007,"[4,0,0,0,2,0,0,2,0,4,0,4,4,4,0]"
148,3,1167.7737574653306,2647.05,"[0,4,4,4,0,2,0,0,0,0,0,0,4,4,0]"
