sim_call,batch,evac,cost_proxy,widths
99,2,1182.0438091187134,3088.8300000000004,"[2,0,2,2,4,0,2,2,0,2,2,2,4,0,0]"
100,2,1205.8058678171396,2462.0300000000007,"[0,2,2,0,4,0,0,2,2,0,4,0,4,0,0]"
101,2,1248.1195616948878,2552.42,"[2,0,4,0,2,0,4,0,0,4,0,4,0,0,0]"
102,2,1262.0422049381216,2003.9700000000003,"[0,2,0,4,0,2,0,0,4,2,2,0,4,0,2]"
103,2,1289.4748273277835,2834.7400000000002,"[0,4,0,2,4,0,2,0,4,4,0,0,2,0,4]"
104,2,1232.6455773632294,2185.3700000000003,"[0,0,4,0,2,0,0,4,0,2,2,0,2,0,2]"
105,2,1168.014796135383,3189.8100000000004,"[2,4,2,4,0,2,4,0,0,0,2,0,4,2,0]"
106,2,1189.8326102367785,3273.7100000000005,"[2,2,4,2,0,2,0,4,4,2,0,4,4,0,0]"
107,2,1153.2926718113872,3295.1000000000004,"[4,2,4,4,0,0,2,0,0,2,4,0,4,0,4]"
108,2,1200.0520548500133,2552.9700000000003,"[0,4,2,0,4,0,2,2,2,0,0,0,4,0,0]"
109,2,1152.0763909987645,3138.2400000000002,"[4,2,4,4,0,0,2,0,2,2,4,0,4,0,2]"
110,2,1149.5658686273318,3783.4,"[2,0,4,4,2,2,0,0,4,2,0,4,4,4,4]"
111,2,1198.1460523384173,2584.1400000000003,"[0,0,2,0,4,4,2,0,2,0,2,0,4,0,2]"
112,2,1255.371033602722,2728.0200000000004,"[2,2,0,2,2,0,2,0,2,0,4,0,2,2,4]"
113,2,1184.498744202062,1902.15,"[2,0,2,0,0,0,4,0,4,0,2,0,4,0,4]"
114,2,1243.5714220610873,3571.2800000000007,"[0,4,4,4,0,0,4,4,4,4,0,0,0,2,4]"
115,2,1150.1504557331227,4246.1900000000005,"[4,2,2,0,2,0,4,2,4,0,4,4,4,4,0]"
116,2,1367.0277485214292,1135.1200000000001,"[4,0,0,4,0,0,0,0,0,0,0,0,0,0,2]"
117,2,1199.8087683052802,3259.5800000000004,"[2,0,2,4,0,4,2,2,0,2,2,2,4,0,2]"
118,2,1197.646244759069,3287.5700000000006,"[2,0,2,4,0,2,0,2,0,2,2,4,4,2,2]"
119,2,1137.0370541410948,4935.040000000001,"[2,4,4,0,4,0,0,2,0,2,4,4,4,4,4]"
120,2,1251.109669644123,1122.4,"[0,0,2,2,0,0,0,0,4,0,0,0,2,4,0]"
121,3,1159.9558597152175,3690.120000000001,"[2,2,2,0,2,2,4,2,2,0,4,0,4,4,0]"
122,3,1186.8009823580644,3617.36,"[4,2,2,2,2,0,2,0,4,0,4,4,2,2,2]"
